H,M,E,B,HSubs,MSubs,ESubs,BSubs
0.010976,0.143748,0.15,1,15,34,13,5
0.010976,0.143748,0.16,0.25,15,34,14,2
0.010976,0.143748,0.18,0.5,15,34,16,3
0.010976,0.157216,0.09,1,15,35,7,5
0.010976,0.157216,0.1,0.75,15,35,8,4
0.010976,0.157216,0.1,1,15,35,8,5
0.010976,0.157216,0.11,0.75,15,35,9,4
0.010976,0.157216,0.11,1,15,35,9,5
0.010976,0.157216,0.12,1,15,35,10,5
0.010976,0.157216,0.13,0.5,15,35,11,3
0.010976,0.157216,0.13,1,15,35,11,5
0.010976,0.157216,0.14,0.5,15,35,12,3
0.010976,0.157216,0.14,0.75,15,35,12,4
0.010976,0.157216,0.14,1,15,35,12,5
0.010976,0.157216,0.15,0.25,15,35,13,2
0.010976,0.157216,0.15,0.5,15,35,13,3
0.010976,0.157216,0.15,0.75,15,35,13,4
0.010976,0.157216,0.15,1,15,35,13,5
0.010976,0.1715,0.09,0.75,15,36,7,4
0.010976,0.1715,0.09,1,15,36,7,5
0.010976,0.1715,0.1,1,15,36,8,5
0.010976,0.1715,0.11,0.5,15,36,9,3
0.010976,0.1715,0.11,1,15,36,9,5
0.010976,0.1715,0.12,1,15,36,10,5
0.010976,0.1715,0.13,0.5,15,36,11,3
0.010976,0.1715,0.13,0.75,15,36,11,4
0.010976,0.1715,0.13,1,15,36,11,5
0.010976,0.1715,0.14,0.75,15,36,12,4
0.010976,0.1715,0.14,1,15,36,12,5
0.010976,0.1715,0.15,0.25,15,36,13,2
0.010976,0.1715,0.16,0.5,15,36,14,3
0.010976,0.202612,0.08,1,15,38,6,5
0.010976,0.202612,0.09,0.75,15,38,7,4
0.010976,0.202612,0.12,0.5,15,38,10,3
0.010976,0.202612,0.12,0.75,15,38,10,4
0.010976,0.202612,0.12,1,15,38,10,5
0.010976,0.202612,0.13,0.25,15,38,11,2
0.010976,0.202612,0.13,0.75,15,38,11,4
0.010976,0.202612,0.13,1,15,38,11,5
0.010976,0.202612,0.14,0.5,15,38,12,3
0.010976,0.219488,0.08,1,15,39,6,5
0.010976,0.219488,0.1,0.5,15,39,8,3
0.010976,0.219488,0.1,0.75,15,39,8,4
0.010976,0.219488,0.11,1,15,39,9,5
0.010976,0.219488,0.12,0.25,15,39,10,2
0.010976,0.219488,0.12,0.5,15,39,10,3
0.010976,0.219488,0.13,0.25,15,39,11,2
0.010976,0.219488,0.13,0.5,15,39,11,3
0.010976,0.219488,0.15,0.5,15,39,13,3
0.010976,0.237276,0.07,1,15,40,5,5
0.010976,0.237276,0.08,0.75,15,40,6,4
0.010976,0.237276,0.08,1,15,40,6,5
0.010976,0.237276,0.09,0.75,15,40,7,4
0.010976,0.237276,0.09,1,15,40,7,5
0.010976,0.237276,0.1,1,15,40,8,5
0.010976,0.237276,0.11,0.75,15,40,9,4
0.010976,0.237276,0.11,1,15,40,9,5
0.010976,0.237276,0.12,1,15,40,10,5
0.010976,0.237276,0.13,0.5,15,40,11,3
0.010976,0.237276,0.14,0.25,15,40,12,2
0.010976,0.237276,0.14,0.5,15,40,12,3
0.010976,0.256,0.07,1,15,41,5,5
0.010976,0.256,0.08,0.75,15,41,6,4
0.010976,0.256,0.08,1,15,41,6,5
0.010976,0.256,0.09,0.5,15,41,7,3
0.010976,0.256,0.09,0.75,15,41,7,4
0.010976,0.256,0.09,1,15,41,7,5
0.010976,0.256,0.1,0.75,15,41,8,4
0.010976,0.256,0.1,1,15,41,8,5
0.010976,0.256,0.11,0.5,15,41,9,3
0.010976,0.256,0.11,0.75,15,41,9,4
0.010976,0.256,0.12,0.25,15,41,10,2
0.010976,0.256,0.12,0.5,15,41,10,3
0.010976,0.256,0.12,0.75,15,41,10,4
0.010976,0.256,0.13,0.25,15,41,11,2
0.010976,0.256,0.13,0.5,15,41,11,3
0.010976,0.256,0.14,0.25,15,41,12,2
0.010976,0.256,0.15,0.25,15,41,13,2
0.010976,0.275684,0.07,0.75,15,42,5,4
0.010976,0.275684,0.07,1,15,42,5,5
0.010976,0.275684,0.08,0.75,15,42,6,4
0.010976,0.275684,0.08,1,15,42,6,5
